,Unnamed: 0,Variant,"Region, subregion, country or area *",Type,Year,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)",Population Change (thousands),Population Growth Rate (percentage),Births (thousands),Births by women aged 15 to 19 (thousands),Total Fertility Rate (live births per woman),Mean Age Childbearing (years),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)","Total Population, as of 1 July",Total Population (Billions),Births (Millions),Births (single)
65835,55,High,WORLD,World,2077,12813124.333,6411864.407,6401259.927,98.258,100.166,34.052,84053.485,84052.841,0.656,201983.166,13076.75,2.423,29.451,117929.681,61221.401,56708.28,80.198,77.932,82.573,0,0,12813124333.0,12.813124333,201.983166,201983166
65836,56,High,WORLD,World,2078,12897157.289,6453807.942,6443349.347,98.902,100.162,34.114,84013.632,84013.071,0.651,202686.539,13034.259,2.418,29.463,118672.907,61611.922,57060.985,80.292,78.032,82.661,0,0,12897157289.0,12.897157289,202.68653899999998,202686539
65837,57,High,WORLD,World,2079,12981224.829,6495761.792,6485463.037,99.547,100.159,34.174,84122.638,84122.008,0.648,203514.6,12990.025,2.414,29.475,119391.962,61980.406,57411.556,80.386,78.132,82.746,0,0,12981224829.0,12.981224829,203.5146,203514600
65838,58,High,WORLD,World,2080,13065369.979,6537748.908,6527621.071,100.192,100.155,34.234,84168.775,84168.292,0.644,204232.663,12944.946,2.409,29.486,120063.888,62331.037,57732.851,80.48,78.232,82.834,0,0,13065369979.0,13.065369979,204.232663,204232663
65839,59,High,WORLD,World,2081,13149606.464,6579777.358,6569829.106,100.838,100.151,34.294,84305.325,84304.678,0.641,205017.29,12892.028,2.404,29.499,120711.965,62664.296,58047.669,80.573,78.333,82.919,0,0,13149606464.0,13.149606464,205.01729,205017290
65840,60,High,WORLD,World,2082,13234103.268,6621936.521,6612166.746,101.486,100.148,34.353,84689.454,84688.929,0.64,205992.59,12832.082,2.401,29.512,121303.136,62968.942,58334.194,80.668,78.436,83.004,0,0,13234103268.0,13.234103268,205.99259,205992590
65841,61,High,WORLD,World,2083,13318961.14,6664272.277,6654688.863,102.137,100.144,34.412,85027.541,85026.817,0.638,206861.769,12771.674,2.396,29.524,121834.228,63250.622,58583.606,80.765,78.539,83.096,0,0,13318961140.0,13.31896114,206.861769,206861769
65842,62,High,WORLD,World,2084,13404156.417,6706772.837,6697383.579,102.79,100.14,34.471,85364.138,85363.735,0.637,207730.739,12707.595,2.392,29.536,122366.601,63527.217,58839.384,80.859,78.642,83.181,0,0,13404156417.0,13.404156417,207.730739,207730739
65843,63,High,WORLD,World,2085,13489659.907,6749420.638,6740239.27,103.446,100.136,34.531,85643.964,85643.246,0.635,208483.048,12633.089,2.386,29.548,122839.084,63783.555,59055.529,80.955,78.744,83.269,0,0,13489659907.0,13.489659907,208.483048,208483048
65844,64,High,WORLD,World,2086,13575446.706,6792193.44,6783253.266,104.104,100.132,34.592,85930.927,85930.353,0.633,209210.047,12556.89,2.379,29.56,123279.12,64030.519,59248.601,81.052,78.847,83.36,0,0,13575446706.0,13.575446706,209.210047,209210047
65845,65,High,WORLD,World,2087,13661590.781,6835126.609,6826464.172,104.764,100.127,34.654,86358.277,86357.795,0.632,210070.74,12486.062,2.375,29.571,123712.463,64275.095,59437.368,81.147,78.948,83.448,0,0,13661590781.0,13.661590781,210.07074,210070740
65846,66,High,WORLD,World,2088,13748232.587,6878286.052,6869946.535,105.429,100.121,34.718,86926.632,86925.817,0.632,211074.124,12419.989,2.372,29.582,124147.492,64531.664,59615.828,81.242,79.048,83.537,0,0,13748232587.0,13.748232587,211.074124,211074124
65847,67,High,WORLD,World,2089,13835312.947,6921642.152,6913670.794,106.096,100.115,34.784,87235.318,87234.904,0.631,211791.578,12331.572,2.366,29.594,124556.26,64760.227,59796.033,81.34,79.153,83.626,0,0,13835312947.0,13.835312947,211.79157800000002,211791578
65848,68,High,WORLD,World,2090,13922723.534,6965141.838,6957581.696,106.767,100.109,34.853,87586.985,87586.271,0.629,212582.954,12260.957,2.361,29.604,124995.969,65014.487,59981.482,81.436,79.255,83.716,0,0,13922723534.0,13.922723534,212.582954,212582954
65849,69,High,WORLD,World,2091,14010402.466,7008742.68,7001659.786,107.439,100.101,34.924,87772.145,87771.593,0.626,213223.624,12179.915,2.355,29.615,125451.479,65287.366,60164.113,81.533,79.356,83.807,0,0,14010402466.0,14.010402466,213.223624,213223624
65850,70,High,WORLD,World,2092,14098361.675,7052455.526,7045906.149,108.113,100.093,34.998,88147.387,88146.825,0.625,214098.627,12107.672,2.352,29.627,125951.24,65560.733,60390.507,81.628,79.46,83.893,0,0,14098361675.0,14.098361675,214.09862700000002,214098627
65851,71,High,WORLD,World,2093,14186563.791,7096264.84,7090298.951,108.79,100.084,35.074,88257.939,88257.406,0.622,214731.26,12022.691,2.347,29.639,126473.321,65863.504,60609.817,81.726,79.562,83.986,0,0,14186563791.0,14.186563791,214.73126000000002,214731260
65852,72,High,WORLD,World,2094,14274999.626,7140161.588,7134838.038,109.468,100.075,35.153,88615.023,88614.265,0.621,215636.04,11952.026,2.345,29.65,127021.017,66168.256,60852.761,81.824,79.667,84.076,0,0,14274999626.0,14.274999626,215.63604,215636040
65853,73,High,WORLD,World,2095,14363630.792,7184134.895,7179495.897,110.148,100.065,35.233,88648.474,88648.066,0.617,216256.216,11867.011,2.34,29.663,127607.742,66488.662,61119.08,81.923,79.771,84.167,0,0,14363630792.0,14.363630792,216.256216,216256216
65854,74,High,WORLD,World,2096,14452296.884,7228108.638,7224188.246,110.828,100.054,35.315,88684.733,88684.117,0.614,216921.482,11794.087,2.336,29.675,128236.749,66827.117,61409.632,82.019,79.873,84.257,0,0,14452296884.0,14.452296884,216.921482,216921482
65855,75,High,WORLD,World,2097,14540919.686,7272041.539,7268878.147,111.507,100.044,35.399,88562.195,88561.488,0.609,217460.353,11709.286,2.332,29.688,128898.158,67186.715,61711.443,82.115,79.974,84.345,0,0,14540919686.0,14.540919686,217.460353,217460353
65856,76,High,WORLD,World,2098,14629484.22,7315931.552,7313552.668,112.186,100.033,35.485,88568.14,88567.581,0.605,218135.989,11640.267,2.329,29.701,129567.849,67535.837,62032.012,82.213,80.078,84.437,0,0,14629484220.0,14.62948422,218.135989,218135989
65857,77,High,WORLD,World,2099,14718057.223,7359815.361,7358241.861,112.866,100.021,35.573,88579.059,88578.424,0.602,218819.354,11571.574,2.327,29.714,130240.295,67893.873,62346.422,82.312,80.181,84.53,0,0,14718057223.0,14.718057223,218.819354,218819354
65858,78,High,WORLD,World,2100,14806532.003,7403644.17,7402887.833,113.544,100.01,35.662,88371.85,88371.136,0.597,219327.802,11490.071,2.323,29.727,130955.952,68251.075,62704.877,82.408,80.285,84.617,0,0,14806532003.0,14.806532003,219.327802,219327802
